# label, type1, x1, y1, type2, x2, y2, ...
ï ï{àÍÇÃã{ê¸,0,-290262.44,-3706546.2,1,-290183.97,-3706540.0,1,-289838.9,-3706574.8,1,-289776.7,-3706693.8,1,-289662.12,-3706808.8
çëìπ210çÜ,0,-286608.3,-3703524.8,1,-286539.7,-3703395.2
çëìπ210çÜ,0,-285924.5,-3702198.5,1,-285886.97,-3702009.2,1,-285611.44,-3701832.2,1,-285542.8,-3701702.8,1,-285550.2,-3701610.2,1,-285481.56,-3701480.8,1,-285331.94,-3701375.8,1,-285363.03,-3701316.2
ï ï{àÍÇÃã{ê¸,0,-289271.97,-3706095.0,1,-289209.72,-3706214.2,1,-289162.38,-3706148.2,1,-289172.28,-3706025.0,1,-289119.97,-3706020.8,1,-289083.88,-3706142.0,1,-289029.1,-3706168.8,1,-288955.56,-3706100.8,1,-288936.84,-3706006.2,1,-288936.84,-3706006.2
çëìπ210çÜ,0,-286783.0,-3707914.0,1,-286735.62,-3707848.2,1,-286688.28,-3707782.5,1,-286638.44,-3707747.5,1,-286588.6,-3707712.5,1,-286379.38,-3707695.8,1,-286355.7,-3707663.0,1,-286334.47,-3707599.2
çëìπ210çÜ,0,-285363.03,-3701316.2,1,-285268.22,-3701184.5,1,-285123.5,-3701018.0
ï ï{àÍÇÃã{ê¸,0,-281200.38,-3707627.2,1,-281197.94,-3707658.0,1,-281318.84,-3707791.8,1,-281316.4,-3707822.5,1,-281261.62,-3707849.2,1,-281190.56,-3707750.5,1,-281119.47,-3707651.8,1,-281121.94,-3707621.0,1,-281293.56,-3707448.5,1,-281327.1,-3707358.0
ï ï{àÍÇÃã{ê¸,0,-286932.4,-3705722.8,1,-286728.1,-3705644.5,1,-286628.4,-3705574.5,1,-286523.75,-3705566.2
ï ï{àÍÇÃã{ê¸,0,-280625.1,-3707581.8,1,-280389.75,-3707563.2,1,-280335.0,-3707590.0,1,-280270.44,-3707740.0
çëìπ210çÜ,0,-287136.34,-3705149.2,1,-287056.44,-3704832.8,1,-287142.34,-3704746.5,1,-287104.84,-3704557.2,1,-286962.7,-3704359.8,1,-286932.62,-3704078.2,1,-286790.44,-3703880.8,1,-286800.34,-3703757.2,1,-286750.47,-3703722.2,1,-286608.3,-3703524.8
ï ï{àÍÇÃã{ê¸,0,-289944.28,-3704938.2,1,-290117.5,-3705076.2,1,-290279.44,-3705027.0,1,-290348.0,-3705156.8,1,-290531.16,-3705171.2,1,-290578.53,-3705237.0,1,-290587.3,-3705455.0,1,-290373.03,-3705500.0,1,-290298.38,-3705773.5,1,-290317.06,-3705868.0
ï ï{àÍÇÃã{ê¸,0,-288941.78,-3705944.5,1,-288915.62,-3705942.5,1,-288806.03,-3705995.8,1,-288792.25,-3705839.5,1,-288739.94,-3705835.5,1,-288718.75,-3705771.8,1,-288663.94,-3705798.2,1,-288642.72,-3705734.5,1,-288590.4,-3705730.5,1,-288545.53,-3705633.8
ã„èBâ°ífé©ìÆé‘ìπ,0,-279537.16,-3711994.8,1,-279991.3,-3711906.5,1,-280312.3,-3711838.8,1,-280630.88,-3711801.8,1,-280897.2,-3711760.8,1,-281116.12,-3711654.0,1,-281259.12,-3711510.2,1,-281373.53,-3711395.0,1,-281689.66,-3711389.0,1,-281956.0,-3711348.0
ï ï{àÍÇÃã{ê¸,0,-280625.1,-3707581.8,1,-280389.75,-3707563.2,1,-280335.0,-3707590.0,1,-280270.44,-3707740.0
